Report_Name	Database Master Report
Report_ID	DR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBSCOhost:uprince
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3040: Partial Data Returned (The request could not be fulfilled in its entirety, since some of the requested data is missing. Usage has been returned for months where usage data exists.); 3031: Usage Not Ready for Requested Dates (Service has not yet processed the usage for one or more of the requested months)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:42:00Z
Created_By	EBSCO Information Services

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Biomedical Index	Undefined		EBSCOhost	EBSCOhost:edm	Unique_Item_Investigations	29	29	0
BioOne Complete	BioOne		EBSCOhost	EBSCOhost:edsbio	Searches_Automated	19268	19268	0
Bloomsbury Human Kinetics Library	Undefined		EBSCOhost	EBSCOhost:edsbhk	Searches_Automated	15720	15720	0
Books at JSTOR	JSTOR		EBSCOhost	EBSCOhost:edsjbk	Total_Item_Investigations	43	43	0
Books at JSTOR	JSTOR		EBSCOhost	EBSCOhost:edsjbk	Unique_Item_Investigations	37	37	0
Books at JSTOR	JSTOR		EBSCOhost	EBSCOhost:edsjbk	Unique_Title_Investigations	37	37	0
Books at JSTOR	JSTOR		EBSCOhost	EBSCOhost:edsjbk	Searches_Automated	15813	15813	0
Books at JSTOR	JSTOR		EBSCOhost	EBSCOhost:edsjbk	Total_Item_Investigations	20	20	0
Books at JSTOR	JSTOR		EBSCOhost	EBSCOhost:edsjbk	Unique_Item_Investigations	16	16	0
Brill E-Book Collection	Brill Academic Publishers		EBSCOhost	EBSCOhost:edsbeb	Total_Item_Investigations	1	1	0
Brill E-Book Collection	Brill Academic Publishers		EBSCOhost	EBSCOhost:edsbeb	Unique_Item_Investigations	1	1	0
Brill E-Book Collection	Brill Academic Publishers		EBSCOhost	EBSCOhost:edsbeb	Unique_Title_Investigations	1	1	0
Brill E-Book Collection	Brill Academic Publishers		EBSCOhost	EBSCOhost:edsbeb	Searches_Automated	15719	15719	0
Brill E-Book Collection	Brill Academic Publishers		EBSCOhost	EBSCOhost:edsbeb	Total_Item_Investigations	2	2	0
Brill E-Book Collection	Brill Academic Publishers		EBSCOhost	EBSCOhost:edsbeb	Unique_Item_Investigations	2	2	0
British Library Document Supply Centre Inside Serials & Conference Proceedings	British Library/ Document Supply Centre		EBSCOhost	EBSCOhost:edsbl	Total_Item_Investigations	1	1	0
British Library Document Supply Centre Inside Serials & Conference Proceedings	British Library/ Document Supply Centre		EBSCOhost	EBSCOhost:edsbl	Unique_Item_Investigations	1	1	0
British Library Document Supply Centre Inside Serials & Conference Proceedings	British Library/ Document Supply Centre		EBSCOhost	EBSCOhost:edsbl	Unique_Title_Investigations	1	1	0
British Library Document Supply Centre Inside Serials & Conference Proceedings	British Library/ Document Supply Centre		EBSCOhost	EBSCOhost:edsbl	Searches_Automated	19299	19299	0
British Library Document Supply Centre Inside Serials & Conference Proceedings	British Library/ Document Supply Centre		EBSCOhost	EBSCOhost:edsbl	Total_Item_Investigations	354	354	0
British Library Document Supply Centre Inside Serials & Conference Proceedings	British Library/ Document Supply Centre		EBSCOhost	EBSCOhost:edsbl	Unique_Item_Investigations	323	323	0
British Library Document Supply Centre Inside Serials & Conference Proceedings	British Library/ Document Supply Centre		EBSCOhost	EBSCOhost:edsbl	Total_Item_Investigations	2	2	0
British Library Document Supply Centre Inside Serials & Conference Proceedings	British Library/ Document Supply Centre		EBSCOhost	EBSCOhost:edsbl	Unique_Item_Investigations	2	2	0
British Library Document Supply Centre Inside Serials & Conference Proceedings	British Library/ Document Supply Centre		EBSCOhost	EBSCOhost:edsbl	Total_Item_Investigations	9	9	0
British Library Document Supply Centre Inside Serials & Conference Proceedings	British Library/ Document Supply Centre		EBSCOhost	EBSCOhost:edsbl	Unique_Item_Investigations	8	8	0
British Library EThOS	British Library Board		EBSCOhost	EBSCOhost:edsble	Searches_Automated	15721	15721	0
British Library EThOS	British Library Board		EBSCOhost	EBSCOhost:edsble	Total_Item_Investigations	48	48	0
British Library EThOS	British Library Board		EBSCOhost	EBSCOhost:edsble	Unique_Item_Investigations	35	35	0
Business Source Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:bth	Total_Item_Investigations	2	2	0
Business Source Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:bth	Total_Item_Requests	1	1	0
Business Source Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:bth	Unique_Item_Investigations	1	1	0
Business Source Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:bth	Unique_Item_Requests	1	1	0
Business Source Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:bth	Unique_Title_Investigations	1	1	0
Business Source Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:bth	Unique_Title_Requests	1	1	0
Business Source Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:bth	Searches_Automated	22864	22864	0
Business Source Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:bth	Searches_Regular	965	965	0
Business Source Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:bth	Total_Item_Investigations	1871	1871	0
Business Source Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:bth	Total_Item_Requests	809	809	0
Business Source Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:bth	Unique_Item_Investigations	1220	1220	0
